codigoestacion,COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,precip_acum_mm,precip_max_10min,n_estaciones,alerta,prop_alertas,categoria,tamaño
0011027030,27245,EL CARMEN DE ATRATO,CHOCÓ,5.810938364,-76.19189442,2.1,0.8,4,1,0.08163265306122448,Muy ligera (< 5 mm),5.0
0011030010,27160,CÉRTEGUI,CHOCÓ,5.389828229,-76.52264237,114.4,10.9,5,1,0.20512820512820512,Extrema (≥ 100 mm),22.0
0011035010,27413,LLORÓ,CHOCÓ,5.585101179,-76.38544449,69.3,14.0,3,0,0.04285714285714286,Muy fuerte (60–100 mm),20.204644353221035
0011035030,27135,EL CANTÓN DEL SAN PABLO,CHOCÓ,5.359661967,-76.77255624,82.7,13.1,4,1,0.2222222222222222,Muy fuerte (60–100 mm),21.87755246566832
0011035030,27810,UNIÓN PANAMERICANA,CHOCÓ,5.281599258,-76.61962746,82.7,13.1,4,1,0.2222222222222222,Muy fuerte (60–100 mm),21.87755246566832
0011047020,27001,QUIBDÓ,CHOCÓ,5.7543229,-76.65015147,71.0,17.3,2,1,0.058333333333333334,Muy fuerte (60–100 mm),20.426196788724855
0011057020,5873,VIGÍA DEL FUERTE,ANTIOQUIA,6.453351334,-76.69504802,1.2000000000000002,0.2,3,1,0.10465116279069768,Muy ligera (< 5 mm),5.0
0011057020,27425,MEDIO ATRATO,CHOCÓ,6.033880098,-76.6734697,1.2000000000000002,0.2,3,1,0.10465116279069768,Muy ligera (< 5 mm),5.0
0011080010,5475,MURINDÓ,ANTIOQUIA,6.828773855,-76.70861349,0.0,0.0,2,0,0.04246575342465753,Sin lluvia (0 mm),5.0
0011080010,27075,BAHÍA SOLANO,CHOCÓ,6.162762775,-77.41653534,0.0,0.0,2,0,0.04246575342465753,Sin lluvia (0 mm),5.0
0011080010,27099,BOJAYÁ,CHOCÓ,6.474666885,-77.09933025,0.0,0.0,2,0,0.04246575342465753,Sin lluvia (0 mm),5.0
0011110010,5138,CAÑASGORDAS,ANTIOQUIA,6.814950023,-76.02689632,16.2,5.3,2,1,0.0625,Moderada (15–30 mm),10.50516822188697
0011110110,5113,BURITICÁ,ANTIOQUIA,6.80906489,-75.91206595,0.0,0.0,2,0,0.041791044776119404,Sin lluvia (0 mm),5.0
0011110110,5306,GIRALDO,ANTIOQUIA,6.663095863,-75.94804663,0.0,0.0,2,0,0.041791044776119404,Sin lluvia (0 mm),5.0
0011115040,5284,FRONTINO,ANTIOQUIA,6.691364773,-76.33199656,5.8,2.3,2,1,0.06017191977077364,Ligera (5–15 mm),6.61704139963322
0011117010,5842,URAMITA,ANTIOQUIA,6.913916924,-76.13318514,2.4,0.5,2,1,0.06303724928366762,Muy ligera (< 5 mm),5.0
0011117050,5234,DABEIBA,ANTIOQUIA,6.992243782,-76.31426328,1.4000000000000001,0.4,4,1,0.07102272727272728,Muy ligera (< 5 mm),5.0
0011135030,27006,ACANDÍ,CHOCÓ,8.383938499,-77.26560256,0.0,0.0,4,1,0.0759493670886076,Sin lluvia (0 mm),5.0
0011135030,27800,UNGUÍA,CHOCÓ,8.117281079,-77.10372723,0.0,0.0,4,1,0.0759493670886076,Sin lluvia (0 mm),5.0
0011175000,27050,ATRATO,CHOCÓ,5.525825084,-76.65064357,5.2,0.6,6,1,0.22388059701492538,Ligera (5–15 mm),6.29974193703073
0012015060,5045,APARTADÓ,ANTIOQUIA,7.86047815,-76.58236264,0.0,0.0,3,1,0.10526315789473684,Sin lluvia (0 mm),5.0
0012015060,5147,CAREPA,ANTIOQUIA,7.757967437,-76.64374657,0.0,0.0,3,1,0.10526315789473684,Sin lluvia (0 mm),5.0
0012017020,5172,CHIGORODÓ,ANTIOQUIA,7.631665644,-76.63964213,0.0,0.0,4,1,0.07352941176470588,Sin lluvia (0 mm),5.0
0012025040,5490,NECOCLÍ,ANTIOQUIA,8.493728551,-76.67699588,0.0,0.0,2,1,0.06153846153846154,Sin lluvia (0 mm),5.0
0012025040,5837,TURBO,ANTIOQUIA,8.173851745,-76.5740377,0.0,0.0,2,1,0.06153846153846154,Sin lluvia (0 mm),5.0
0012045020,23419,LOS CÓRDOBAS,CÓRDOBA,8.823307063,-76.3430552,0.0,0.0,3,1,0.09770114942528736,Sin lluvia (0 mm),5.0
0012045020,23500,MOÑITOS,CÓRDOBA,9.190515343,-76.11931709,0.0,0.0,3,1,0.09770114942528736,Sin lluvia (0 mm),5.0
0012045020,23574,PUERTO ESCONDIDO,CÓRDOBA,8.988667731,-76.19405912,0.0,0.0,3,1,0.09770114942528736,Sin lluvia (0 mm),5.0
